Costa Mesa,California,"108,724"
Downey,California,"107,323"
West Covina,California,"105,080"
Daly City,California,"103,621"
Norwalk,California,"103,298"
Berkeley,California,"102,743"
Santa Clara,California,"102,361"
San Buenaventura,California,"100,916"
Burbank,California,"100,316"
Richmond,California,"99,216"
South Gate,California,"96,375"
Fairfield,California,"96,178"
El Cajon,California,"94,869"
Compton,California,"93,493"
Mission Viejo,California,"93,102"
San Mateo,California,"92,482"
Santa Barbara,California,"92,325"
Rialto,California,"91,873"
Visalia,California,"91,565"
Antioch,California,"90,532"
Vista,California,"89,857"
Carson,California,"89,730"
Vacaville,California,"88,625"
Westminster,California,"88,207"
Alhambra,California,"85,804"
Citrus Heights,California,"85,071"
Hawthorne,California,"84,112"
Santa Monica,California,"84,084"
Whittier,California,"83,680"
Redding,California,"80,865"
Roseville,California,"79,921"
San Leandro,California,"79,452"
Lakewood,California,"79,345"
Buena Park,California,"78,282"
Carlsbad,California,"78,247"
Santa Maria,California,"77,423"
Baldwin Park,California,"75,837"
Redwood City,California,"75,402"
Livermore,California,"73,345"
Bellflower,California,"72,878"
Napa,California,"72,585"
Alameda,California,"72,259"
Mountain View,California,"70,708"
Newport Beach,California,"70,032"
Lynwood,California,"69,845"
Clovis,California,"68,468"
Upland,California,"68,393"
Denver,Colorado,"554,636"
Colorado Springs,Colorado,"360,890"
Aurora,Colorado,"276,393"
Lakewood,Colorado,"144,126"
Fort Collins,Colorado,"118,652"
Arvada,Colorado,"102,153"
Pueblo,Colorado,"102,121"
Westminster,Colorado,"100,940"
Boulder,Colorado,"94,673"
Thornton,Colorado,"82,384"
Greeley,Colorado,"76,930"
Longmont,Colorado,"71,093"
Bridgeport,Connecticut,"139,529"
New Haven,Connecticut,"123,626"
Hartford,Connecticut,"121,578"
Stamford,Connecticut,"117,083"
Waterbury,Connecticut,"107,271"
Norwalk,Connecticut,"82,951"
Danbury,Connecticut,"74,848"
New Britain,Connecticut,"71,538"
Washington,DC,"572,059"
Wilmington,Delaware,"72,664"
Miami,Florida,"362,470"
Tampa,Florida,"303,447"
St. Petersburg,Florida,"248,232"
Hialeah,Florida,"226,419"
Orlando,Florida,"185,951"
Fort Lauderdale,Florida,"152,397"
Tallahassee,Florida,"150,624"
Hollywood,Florida,"139,357"
Pembroke Pines,Florida,"137,427"
Coral Springs,Florida,"117,549"
Clearwater,Florida,"108,787"
Cape Coral,Florida,"102,286"
Gainesville,Florida,"95,447"
Port St. Lucie,Florida,"88,769"
Miami Beach,Florida,"87,933"
Sunrise,Florida,"85,779"
Plantation,Florida,"82,934"
West Palm Beach,Florida,"82,103"
Palm Bay,Florida,"79,413"
Lakeland,Florida,"78,452"
Pompano Beach,Florida,"78,191"
Davie,Florida,"75,720"
Boca Raton,Florida,"74,764"
Miramar,Florida,"72,739"
Melbourne,Florida,"71,382"
Deltona,Florida,"69,543"
Largo,Florida,"69,371"
Atlanta,Georgia,"416,474"
Augusta,Georgia,"195,182"
Columbus,Georgia,"185,781"
Savannah,Georgia,"131,510"
Athens,Georgia,"100,266"
Macon,Georgia,"97,255"
Roswell,Georgia,"79,334"
Albany,Georgia,"76,939"
Boise City,Idaho,"185,787"
Rockford,Illinois,"150,115"
Aurora IL,Illinois,"142,990"
Naperville,Illinois,"128,358"
Peoria,Illinois,"112,936"
Springfield,Illinois,"111,454"
Joliet,Illinois,"106,221"
Elgin,Illinois,"94,487"
Waukegan,Illinois,"87,901"
Cicero,Illinois,"85,616"
Decatur,Illinois,"81,860"
Arlington Heights,Illinois,"76,031"
Schaumburg,Illinois,"75,386"
Evanston,Illinois,"74,239"
Fort Wayne,Indiana,"205,727"
Evansville,Indiana,"121,582"
South Bend,Indiana,"107,789"
Gary,Indiana,"102,746"
Hammond,Indiana,"83,048"
Bloomington,Indiana,"69,291"
Des Moines,Iowa,"198,682"
Cedar Rapids,Iowa,"120,758"
Davenport,Iowa,"98,359"
Sioux City,Iowa,"85,013"
Waterloo,Iowa,"68,747"
Wichita,Kansas,"344,284"
Overland Park,Kansas,"149,080"
Kansas City,Kansas,"146,866"
Topeka,Kansas,"122,377"
Olathe,Kansas,"92,962"
Lawrence,Kansas,"80,098"
Lexington-Fayet,Kentucky,"260,512"
Louisville,Kentucky,"256,231"
